ClientID,CompanyNameOriginal,CompanyNameNormalized,BusinessStreet1,BusinessStreet2,BusinessCity,BusinessState,BusinessPostalCode,MainPhone,EmailAddress,WebPage,ClientNotes
a9213c8d-e37e-430b-84af-84222bb7cacd,Advantage Properties Chicago,advantage chicago,350 N. La Salle St,Ste 900,Chicago,IL,60654.0,312-450-8888,mshamis@apchicago.com,,
9fe90c95-c536-4024-9613-b0ddae73a975,Art Property Management,art,12115 S Halsted St,#1,Chicago,,60628.0,773-568-1138 ,tlwatkins@artpropertymgmt.com,,
27680c4f-f892-4f21-9d95-6ce6457d4902,Ascend Apartments,ascend apartments,940 W. Adams St,Ste 403,Chicago,IL,60607.0,312 282 1005,roseann@ckorealestate.com,,
10640ce9-5b85-45a8-806a-fea6e110341d,Cagan Management,cagan,3856 W. Oakton St,,Skokie,IL,60076.0,847-679-5512,spetkova@cagan.com,slipkowitz@cagan.com,
2c20f099-5242-49ee-8627-a44563813881,Chicago Property Management,chicago,6720 S. Jeffery Blvd,,Chicago,IL,60649.0,773-365-1818,cs@thechicagopm.com,,
cc03b803-bdb8-407f-a1be-5066c08dc193,CityPads,citypads,2000 N. Leavitt St,,Chicago,IL,60647.0,312-863-8968,danny@citypadsre.com,,
31d35857-a27c-4589-b0ce-6928faca6866,CityZen,cityzen,1407 W. 15th St,,Chicago,IL,60608.0,773-970-0969,nnjongmeta@cityzenpm.com,,
46d4a048-0c94-4f18-8d54-24bbbe110251,CKO Real Estate,cko real estate,940 W. Adams St,Ste 403,Chicago,IL,60607.0,312 282 1005,chikoo@ckorealestate.com,,
4ee7c261-2656-4771-bcbd-bfa91abac5e6,High Fidelity Property Management,high fidelity,2513 N. Halsted Street,,Chicago,IL,60614.0,773-697-4112,corinne@hifipm.com,,
b0602e14-2686-408b-99e1-db202dfadb9a,Hindsight Capital,hindsight capital,4044 N. Lincoln Ave,Ste 110,Chicago,IL,60618.0,847-641-8414,bellavia.james@gmail.com,,
40d06769-a4c9-450b-b34d-698c700e5cdd,HomeRiver Group,homeriver,600 W Cermak Ave,Ste 2A2,Chicago,IL,60616.0,630-324-4267,Chicago@homeriver.com,,
0e9a5582-0718-4538-95dd-4f88215b9c9b,MLC Properties  - IPH,mlc iph,9117 S. Stewart Ave,,Chicago,IL,60620.0,773-264-3005,trent@mlcproperties.com,,
5919f005-3768-43a0-a659-c0e404086661,MLC Properties and Management,mlc and,1335 W. Fargo Ave,,Chicago,IL,60626.0,773-262-7555,max@mlcproperties.com,,
7c45f0d5-33b0-4595-a1e9-3b7ac8992910,Mo2 Properties,mo2,709 N Milwaukee Ave,,Chicago,IL,60642.0,773-661-2772,max@mo2properties.com,,
32e2f65e-93c8-403f-999a-7051b1434e09,Pabcor Management,pabcor,664 N. Milwaukee Ave,Ste 200,Prospect Heights,IL,60070.0,847-520-4200 x106,tru@pabcormanagement.com,,
478c21c4-78b9-4dfb-89ba-c6955435e2a6,RTS Properties LLC,rts,,,,,,,Randy@randele.com,,
0d155946-5463-44c0-b0f2-e0e6ec62c8df,Smart Property Management,smart,PO Box 47768,,Chicago,IL,60647.0,415-215-9389,brent@smartrepm.com,,
48e03df3-3c13-4e6a-a392-a1cb2aa48532,SVN Chicago Property Management,svn chicago,940 W. Adams St,Ste 200,Chicago,IL,60607.0,312-259-4171,mickyc@svn.com,,
29b06383-4116-4722-aabb-c692ba59bf67,Client Name,client name,PM Contact,PM Phone,,,,,,,
a5de8707-d829-4b4b-bec1-851b46de5052,Advantage Properties,advantage,Diana Watts Asst PM,312-298-9625,708-897-8981,,,,,,
11f62340-14a9-438e-a825-236885e1e35a,Francisco Borras,francisco borras,Borras,708-793-9381,,,,,,,
9985ad6b-c71a-4315-8d8d-2f826b1d9de3,Chicago PM,chicago pm,Itche,,ib@thechicagopm.com,,,,,,
49093edc-7be3-46d7-a898-089193a33f92,HIFI,hifi,Corinne,630-432-9393,,,,,,,
9aa6393d-4c0e-49fa-8607-76817ad6979b,Joe Gemmellaro,joe gemmellaro,Joe,773-484-8009,,,,,,,
9008ef3c-3742-4343-80da-b4f79bf52aab,McCartney,mccartney,Margie,773-368-8618,,,367.56,,,,
a1bf0c5b-2c9c-452a-b199-3c4b65d8dd6d,MLC,mlc,Marty,847-456-5336,,,,,,,
3cc6346d-3381-49f1-b2e7-d88874050684,Shah,shah,Pinkesh,847-571-2787,,,,,,,
1436b4ef-70a2-40e9-b110-7d53a6e9c2a6,SPM,spm,Brent,847-804-0612 ,,,,,,,
427ac99a-6555-4f54-86bb-9e0ce3abe12f,SVN,svn,Micky,312-925-8166,,,,,,,
PLACEHOLDER_37082df8,4500 Fullerton LLC (Placeholder),4500 fullerton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI036 (Original Owner: 4500 Fullerton LLC)
PLACEHOLDER_9a4cfc4d,4500 Fullerton LLC (Placeholder),4500 fullerton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI037 (Original Owner: 4500 Fullerton LLC)
PLACEHOLDER_dbe6a4bc,3734 West Lawrence LLC (Placeholder),3734 west lawrence placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI038 (Original Owner: 3734 West Lawrence LLC)
